                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.8143,                0.59605,                0.80383,                0.99937,                      1,                  0.995,                0.82934,                 0.6578,                0.51353,                0.77743,               0.000614,               0.000614,               0.000614
                     38,                0.83285,                0.58543,                0.80462,                0.99929,                      1,                  0.995,                0.81381,                0.64266,                0.49208,                0.77054,              0.0005744,              0.0005744,              0.0005744
                     39,                0.80754,                0.57912,                0.79483,                0.99977,                      1,                  0.995,                 0.8177,                0.61481,                0.51557,                0.76995,              0.0005348,              0.0005348,              0.0005348
                     40,                0.77894,                0.56223,                 0.8025,                0.99936,                      1,                  0.995,                0.83853,                0.67448,                0.53396,                0.77349,              0.0004952,              0.0004952,              0.0004952
                     41,                0.90427,                0.62917,                0.76694,                0.99861,                      1,                  0.995,                0.81755,                0.64427,                0.50397,                0.77239,              0.0004556,              0.0004556,              0.0004556
                     42,                0.85185,                0.59931,                0.77512,                0.99886,                      1,                  0.995,                0.84042,                0.61287,                0.48008,                0.77592,               0.000416,               0.000416,               0.000416
                     43,                0.81735,                0.58771,                 0.7655,                0.99869,                      1,                  0.995,                0.82938,                0.66587,                 0.5145,                0.78509,              0.0003764,              0.0003764,              0.0003764
                     44,                0.75832,                0.55666,                0.75909,                0.99897,                      1,                  0.995,                0.84496,                0.60746,                 0.4946,                0.77462,              0.0003368,              0.0003368,              0.0003368
                     45,                0.73288,                0.55569,                 0.7665,                0.99926,                      1,                  0.995,                0.84058,                0.55587,                0.45923,                0.77424,              0.0002972,              0.0002972,              0.0002972
                     46,                0.72247,                0.55256,                0.75712,                0.99916,                      1,                  0.995,                0.82874,                0.58364,                0.47332,                0.76669,              0.0002576,              0.0002576,              0.0002576
                     47,                0.73398,                0.53821,                0.76004,                0.99945,                      1,                  0.995,                0.84682,                0.56587,                0.45336,                0.77018,               0.000218,               0.000218,               0.000218
                     48,                0.72594,                0.53797,                0.75147,                0.99952,                      1,                  0.995,                0.85357,                0.51038,                0.43931,                0.76707,              0.0001784,              0.0001784,              0.0001784
                     49,                0.69755,                0.52532,                0.74434,                0.99961,                      1,                  0.995,                0.86015,                0.50662,                0.44391,                0.76835,              0.0001388,              0.0001388,              0.0001388
                     50,                0.67979,                0.51528,                0.74915,                0.99942,                      1,                  0.995,                0.87168,                0.49833,                 0.4386,                0.76689,               9.92e-05,               9.92e-05,               9.92e-05
