                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6935,                 3.1629,                 1.5114,                0.00632,                 0.9475,                0.05427,                0.01735,                 2.2159,                 3.6905,                  1.408,                0.00058,                0.00058,                0.00058
                      2,                 1.8038,                 1.7693,                 1.1721,                0.00667,                      1,                0.88858,                0.45273,                 1.5071,                 3.1376,                 1.1614,              0.0011566,              0.0011566,              0.0011566
                      3,                  1.782,                 1.5949,                 1.1274,                0.75751,                0.82784,                0.86975,                0.35918,                 1.8509,                 2.1372,                 1.1531,              0.0017095,              0.0017095,              0.0017095
                      4,                 1.8004,                 1.6005,                 1.0674,                0.72506,                 0.8307,                0.84415,                0.35928,                 1.5251,                 1.8826,                 1.0803,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7454,                   1.51,                  1.054,                0.90083,                  0.915,                0.97983,                0.54509,                 1.4861,                  1.299,                 1.0899,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5824,                 1.3537,                 1.0246,                0.95912,                  0.995,                0.99273,                0.59817,                  1.328,                  1.023,                0.92359,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.5346,                 1.2534,                0.96813,                 0.9506,                 0.9925,                0.98913,                0.59924,                 1.2687,                 1.0879,                0.94467,               0.001802,               0.001802,               0.001802
                      8,                 1.3858,                 1.1423,                 0.9357,                0.93997,                   0.97,                0.98977,                0.54918,                 1.3851,                 1.0396,                0.99187,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4542,                 1.1522,                0.96152,                0.87731,                0.98317,                0.98388,                0.61588,                 1.2597,                 1.1184,                0.92806,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4314,                 1.0949,                0.92867,                0.87189,                 0.9375,                 0.9754,                0.49226,                 1.3785,                 1.3566,                0.97047,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3751,                 1.0688,                0.90739,                0.91059,                 0.9825,                0.98864,                0.66363,                 1.1028,                 1.0151,                0.90528,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2875,                  0.985,                0.88036,                0.99922,                      1,                  0.995,                0.71353,                0.99391,                0.83808,                0.84918,               0.001604,               0.001604,               0.001604
                     13,                 1.2908,                0.98208,                0.88185,                0.99833,                      1,                  0.995,                0.68188,                 1.1121,                0.82729,                0.82972,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.304,                0.94784,                 0.8818,                0.99597,                      1,                0.99438,                0.69843,                0.90233,                0.75128,                0.85803,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2047,                0.87998,                0.87538,                0.99771,                      1,                  0.995,                0.57519,                 1.2817,                0.91814,                0.83505,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2349,                0.87598,                0.88874,                0.98364,                      1,                0.99495,                0.64554,                 1.0079,                0.86584,                0.83366,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2255,                0.88372,                0.87193,                0.99359,                      1,                0.99117,                0.77385,                0.88977,                0.80402,                0.80077,               0.001406,               0.001406,               0.001406
                     18,                 1.1696,                0.83773,                0.85141,                0.99156,                      1,                0.99498,                0.55057,                 1.2008,                0.78609,                0.83791,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1413,                0.83969,                0.84822,                0.99882,                      1,                  0.995,                0.67787,                0.97292,                0.68745,                0.80051,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0944,                0.78413,                0.84756,                0.99952,                      1,                  0.995,                0.72862,                 0.8821,                 0.6278,                0.80375,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1071,                0.79031,                 0.8393,                0.99962,                      1,                  0.995,                0.78066,                0.86989,                0.61609,                0.80285,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0198,                0.74847,                0.83686,                0.99754,                      1,                  0.995,                0.76467,                0.89163,                 0.7212,                0.80645,               0.001208,               0.001208,               0.001208
                     23,                 1.0274,                0.75156,                0.83011,                0.99783,                      1,                  0.995,                0.72376,                0.84581,                0.66859,                0.81566,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0085,                0.72457,                0.82819,                0.99941,                      1,                  0.995,                  0.779,                0.78305,                0.62074,                 0.7953,              0.0011288,              0.0011288,              0.0011288
                     25,                0.98435,                0.71173,                0.82254,                0.98982,                      1,                 0.9947,                0.66738,                 1.0491,                0.72471,                0.79277,              0.0010892,              0.0010892,              0.0010892
                     26,                0.96049,                0.71541,                0.82106,                0.99852,                      1,                  0.995,                  0.754,                0.81891,                0.62339,                0.79238,              0.0010496,              0.0010496,              0.0010496
                     27,                0.98943,                0.68876,                0.81717,                0.99948,                      1,                  0.995,                0.72638,                0.90857,                0.62405,                0.78816,                0.00101,                0.00101,                0.00101
                     28,                 1.0854,                0.70973,                0.82783,                0.99859,                      1,                  0.995,                0.78622,                0.73205,                0.57421,                0.78225,              0.0009704,              0.0009704,              0.0009704
                     29,                0.97243,                0.68231,                 0.8148,                0.99874,                      1,                  0.995,                0.79401,                0.86361,                0.58991,                0.80202,              0.0009308,              0.0009308,              0.0009308
                     30,                0.98333,                0.69697,                0.81329,                0.99962,                      1,                  0.995,                0.78878,                0.72403,                 0.5569,                0.77079,              0.0008912,              0.0008912,              0.0008912
                     31,                0.91293,                0.65138,                0.80096,                0.99981,                      1,                  0.995,                 0.7619,                0.90848,                0.66458,                0.77512,              0.0008516,              0.0008516,              0.0008516
                     32,                0.88841,                0.63692,                0.81328,                0.99936,                      1,                  0.995,                0.78983,                0.65531,                 0.5607,                0.77394,               0.000812,               0.000812,               0.000812
                     33,                0.91224,                0.65228,                0.80337,                0.99885,                      1,                  0.995,                0.77655,                 0.7699,                0.57162,                0.78641,              0.0007724,              0.0007724,              0.0007724
                     34,                0.92392,                0.65649,                0.80405,                0.99963,                      1,                  0.995,                0.76966,                0.82402,                0.55629,                0.77748,              0.0007328,              0.0007328,              0.0007328
                     35,                0.88737,                0.62719,                0.80201,                0.99962,                      1,                  0.995,                0.80481,                0.67077,                0.54673,                0.78072,              0.0006932,              0.0006932,              0.0006932
                     36,                0.89058,                 0.6384,                0.80584,                0.99971,                      1,                  0.995,                0.81161,                0.65793,                 0.5342,                0.77167,              0.0006536,              0.0006536,              0.0006536
