                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5241,                 4.8674,                 1.2735,                 0.0008,                0.23077,                0.00052,                0.00012,                 1.0499,                 4.3075,                 1.1036,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.5763,                 4.6138,                  1.324,                0.00093,                0.26923,                0.00068,                0.00021,                0.97157,                 4.2825,                 1.0658,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.4546,                 4.2045,                 1.2372,                 0.0008,                0.23077,                0.00057,                0.00018,                0.93586,                 4.2792,                  1.061,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.2905,                 3.7431,                 1.1561,                0.00133,                0.38462,                0.00092,                0.00031,                 0.9469,                 4.2654,                 1.0606,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.3658,                  3.511,                 1.2041,                0.00267,                0.76923,                0.00264,                0.00093,                0.93291,                 4.1882,                 1.0631,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.2329,                 3.1374,                   1.14,                 0.0032,                0.92308,                0.00391,                0.00196,                0.89812,                 4.1604,                 1.0397,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.2587,                 2.8974,                 1.1328,                0.00307,                0.88462,                0.00436,                0.00281,                0.86855,                 4.1072,                0.98407,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.1948,                 2.6146,                 1.1157,                0.00307,                0.88462,                0.00448,                0.00295,                0.87354,                 4.0512,                0.97763,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.1711,                 2.3542,                 1.0878,                 0.0028,                0.80769,                 0.0044,                0.00318,                0.87399,                  3.987,                0.99919,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.1313,                 2.0706,                 1.0728,                0.00293,                0.84615,                0.00487,                0.00342,                0.87741,                  3.901,                0.99627,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.1127,                 1.8385,                 1.0933,                0.00293,                0.84615,                0.01374,                0.01133,                0.94404,                 3.7814,                 1.0201,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.1595,                 1.6048,                  1.081,                0.00293,                0.84615,                 0.1498,                0.10953,                0.88401,                 3.5844,                0.99196,               0.000923,               0.000923,               0.000923
                     13,                 1.1318,                 1.3989,                 1.0329,                0.00293,                0.84615,                  0.368,                0.28355,                0.87037,                 3.4171,                0.98831,             0.00097587,             0.00097587,             0.00097587
                     14,                  1.143,                 1.2597,                 1.0747,                0.00307,                0.88462,                0.73657,                0.56742,                0.91645,                 3.0589,                0.99934,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.1433,                 1.1716,                  1.093,                0.93957,                0.59853,                0.78943,                0.63531,                0.90447,                 2.7084,                0.99453,              0.0010697,              0.0010697,              0.0010697
                     16,                 1.1081,                 1.0589,                 1.0783,                0.93771,                0.57916,                0.79901,                0.63656,                0.89024,                 2.6524,                0.99256,              0.0011107,              0.0011107,              0.0011107
                     17,                  1.077,                0.94718,                 1.1009,                 0.0032,                0.92308,                0.76088,                 0.5624,                0.94085,                 2.7469,                 1.0173,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.1126,                0.97403,                 1.1127,                 0.0032,                0.92308,                0.82771,                0.61909,                0.94484,                 2.7373,                 1.0229,              0.0011809,              0.0011809,              0.0011809
                     19,                 1.1138,                0.95521,                 1.0554,                      1,                0.60756,                 0.8855,                0.69382,                0.88387,                 2.5782,                 0.9808,                0.00121,                0.00121,                0.00121
                     20,                 1.1071,                0.87596,                 1.0915,                      1,                0.64971,                0.88563,                0.69134,                0.86933,                 2.2534,                0.99133,              0.0012351,              0.0012351,              0.0012351
                     21,                 1.0732,                0.85885,                 1.0547,                      1,                 0.7943,                0.88557,                0.67302,                0.92377,                 2.1788,                  1.025,               0.001208,               0.001208,               0.001208
                     22,                  1.101,                0.85449,                 1.0858,                      1,                0.81173,                0.88552,                0.68399,                0.96745,                 2.1119,                 1.0381,              0.0011684,              0.0011684,              0.0011684
